ID;ID_Manifestacion;ID_Localizacion
1;S01;L04
2;S01;L05
3;S01;L07
4;S02;L03
5;S02;L03
6;S03;L04
7;S03;L05
8;S04;L05
9;S05;L08
10;S06;L05
11;S07;L02
12;S07;L04
13;S08;L05
14;SG01;L04
15;SG01;L05
16;S10;L06
17;S11;L07
18;SG08;L07
19;S12;L05
20;SG07;L05
21;S13;L02
22;S14;L04
23;S14;L07
24;SG02;L04
25;SG02;L07
26;SG03;L04
27;S14;L03
28;SG04;L02
29;SG04;L03
30;SG05;L03
31;S07;L04
32;S15;L05
33;S14;L04
34;S14;L05
35;S14;L07
36;S17;L07
37;S18;L08
38;S07;L02
39;S07;L04
40;SG06;L04
41;S19;L04
42;S20;L05
43;S21;L04
44;S21;L05
45;S22;L07
46;S23;L04
47;S16;L05
48;S22;L07
49;S14;L04
50;S14;L07
51;S25;L04
52;S26;L07
53;S27;L08
54;S28;L05
55;S29;L05
56;S27;L08
57;S30;L05
58;S31;L07
59;S32;L07
60;S33;L08
61;SG09;L08
62;S34;L04
63;S34;L05
64;S35;L05
65;S36;L05
