ID_Manifestacion;ID_Grupo;ID_Localizacion;Descripcion;Tipo;Descripcion_corta;Imagen
S01;G03;L04;Manchas circulares café con anillos concéntricos;Síntoma;;
S01;G03;L05;Manchas circulares café con anillos concéntricos;Síntoma;;
S01;G03;L07;Manchas circulares café con anillos concéntricos;Síntoma;;
S02;G04;L03;Estrangulamiento necrótico en el cuello;Síntoma;;
S02;G04;L03;Estrangulamiento necrótico en el cuello;Síntoma;;
S03;G03;L04;Lesiones pequeñas castaño oscuro centro claro;Síntoma;;
S03;G03;L05;Lesiones pequeñas castaño oscuro centro claro;Síntoma;;
S04;G03;L05;Perforaciones foliares (desprendimiento de tejido);Síntoma;;
S05;G01;L08;Marchitamiento temporal o paulatino;Síntoma;;
S06;G02;L05;Amarillamiento de hojas basales;Síntoma;;
S07;G08;L02;Oscurecimiento de los vasos o tejido de conducción;Síntoma;;
S07;G08;L04;Oscurecimiento de los vasos o tejido de conducción;Síntoma;;
S08;G05;L05;Manchas blancas circulares de aspecto polvoriento;Síntoma;;
SG01;G05;L04;Aspecto pulverulento (polvillo blanco o cenizo);Signo;;
SG01;G05;L05;Aspecto pulverulento (polvillo blanco o cenizo);Signo;;
S10;G04;L06;Lesiones necróticas en pétalos o cálices;Síntoma;;
S11;G03;L07;Manchas oscuras pequeñas en frutos;Síntoma;;
SG08;G05;L07;Masa gelatinosa rosada sobre lesiones de frutos;Signo;;
S12;G02;L05;Manchas amarillas con borde difuso cara superior;Síntoma;;
SG07;G05;L05;Terciopelo de color marrón en el envés;Signo;;
S13;G08;L02;Resquebrajamientos longitudinales (corcho);Síntoma;;
S14;G06;L04;Lesiones acuosas que evolucionan a podredumbre;Síntoma;;
S14;G06;L07;Lesiones acuosas que evolucionan a podredumbre;Síntoma;;
SG02;G05;L04;Micelio blanco algodonoso sobre tejidos acuosos;Signo;;
SG02;G05;L07;Micelio blanco algodonoso sobre tejidos acuosos;Signo;;
SG03;G05;L04;Esclerocios negros de tamaño irregular;Signo;;
S14;G06;L03;Lesiones acuosas (cuello/contacto con suelo);Síntoma;;
SG04;G05;L02;Rizomorfas blancas (micelio con aspecto de raíz);Signo;;
SG04;G05;L03;Rizomorfas blancas (micelio con aspecto de raíz);Signo;;
SG05;G05;L03;Esclerocios castaños esféricos;Signo;;
S07;G08;L04;Leve oscurecimiento de vasos internos;Síntoma;;
S15;G04;L05;Necrosis en forma de 'V' en bordes foliares;Síntoma;;
S14;G06;L04;Lesiones acuosas (tallo/hoja/fruto);Síntoma;;
S14;G06;L05;Lesiones acuosas (tallo/hoja/fruto);Síntoma;;
S14;G06;L07;Lesiones acuosas (tallo/hoja/fruto);Síntoma;;
S17;G03;L07;Zonas color chocolate en frutos;Síntoma;;
S18;G01;L08;Marchitamiento repentino e irreversible;Síntoma;;
S07;G08;L02;Oscurecimiento del tejido de conducción;Síntoma;;
S07;G08;L04;Oscurecimiento del tejido de conducción;Síntoma;;
SG06;G08;L04;Zooglea (suspensión blanquecina en agua);Signo;;
S19;G08;L04;Médula del tallo marrón desintegrada o hueca;Síntoma;;
S20;G01;L05;Marchitamiento unilateral de hojas;Síntoma;;
S21;G04;L04;Necrosis en bordes de hojas y a lo largo del tallo;Síntoma;;
S21;G04;L05;Necrosis en bordes de hojas y a lo largo del tallo;Síntoma;;
S22;G03;L07;Síntoma de 'ojo de pájaro' en fruto;Síntoma;;
S23;G04;L04;Formación de cancros (llagas) en el tallo;Síntoma;;
S16;G03;L05;Manchas aceitosas en hojas;;;
S22;G03;L07;Síntoma de 'ojo de pájaro' en fruto;Síntoma;;
S14;G06;L04;Lesiones acuosas por desbrote o heridas;Síntoma;;
S14;G06;L07;Lesiones acuosas por heridas o picaduras;Síntoma;;
S25;G06;L04;Oscurecimiento externo del tallo (podredumbre);Síntoma;;
S26;G06;L07;Fruto con aspecto de bolsa de agua;Síntoma;;
S27;G09;L08;Achaparramiento y enanismo generalizado;Síntoma;;
S28;G02;L05;Moteado clorótico y acartuchamiento de hojas;Síntoma;;
S29;G07;L05;Hojas estrechas reducidas a nervadura central;Síntoma;;
S27;G09;L08;Achaparramiento y enanismo generalizado;Síntoma;;
S30;G04;L05;Bronceado de hojas con anillos concéntricos;Síntoma;;
S31;G07;L07;Frutos deformados con lesiones circulares;Síntoma;;
S32;G09;L07;Zonas verdes persistentes en fruto y pulpa;Síntoma;;
S33;G09;L08;Guías amarillas de maleza envolviendo la planta;Síntoma;;
SG09;G09;L08;Guías de maleza envolviendo activamente;Signo;;
S34;G04;L04;Oscurecimiento de bordes foliares y brotes;Síntoma;;
S34;G04;L05;Oscurecimiento de bordes foliares y brotes;Síntoma;;
S35;G02;L05;Amarillamiento en la base de hojas jóvenes;Síntoma;;
S36;G07;L05;Hojas deformadas en forma de punta de lanza;Síntoma;;
